date,unique_attackers,unique_victims,formatted_date
2024-08-01,467,943,Aug-2024
2024-08-02,345,392,Aug-2024
2024-08-03,258,283,Aug-2024
2024-08-04,245,270,Aug-2024
2024-08-05,372,420,Aug-2024
2024-08-06,407,515,Aug-2024
2024-08-07,432,498,Aug-2024
2024-08-08,590,579,Aug-2024
2024-08-09,413,459,Aug-2024
2024-08-10,456,431,Aug-2024
2024-08-11,302,341,Aug-2024
2024-08-12,379,435,Aug-2024
2024-08-13,408,610,Aug-2024
2024-08-14,597,638,Aug-2024
2024-08-15,434,566,Aug-2024
2024-08-16,427,543,Aug-2024
2024-08-17,319,436,Aug-2024
2024-08-18,274,331,Aug-2024
2024-08-19,395,440,Aug-2024
2024-08-20,415,513,Aug-2024
2024-08-21,494,545,Aug-2024
2024-08-22,450,533,Aug-2024
2024-08-23,480,619,Aug-2024
2024-08-24,382,587,Aug-2024
2024-08-25,307,352,Aug-2024
2024-08-26,409,629,Aug-2024
2024-08-27,442,527,Aug-2024
2024-08-28,492,572,Aug-2024
2024-08-29,484,571,Aug-2024
2024-08-30,477,566,Aug-2024
2024-08-31,381,456,Aug-2024
2024-09-01,351,443,Sep-2024
2024-09-02,431,498,Sep-2024
2024-09-03,791,557,Sep-2024
2024-09-04,540,772,Sep-2024
2024-09-05,575,654,Sep-2024
2024-09-06,439,594,Sep-2024
2024-09-07,348,404,Sep-2024
2024-09-08,381,386,Sep-2024
2024-09-09,429,497,Sep-2024
2024-09-10,534,601,Sep-2024
2024-09-11,539,839,Sep-2024
2024-09-12,537,631,Sep-2024
2024-09-13,550,622,Sep-2024
2024-09-14,356,450,Sep-2024
2024-09-15,346,401,Sep-2024
2024-09-16,390,480,Sep-2024
2024-09-17,495,916,Sep-2024
2024-09-18,439,587,Sep-2024
2024-09-19,459,633,Sep-2024
2024-09-20,470,626,Sep-2024
2024-09-21,379,490,Sep-2024
2024-09-22,365,436,Sep-2024
2024-09-23,398,541,Sep-2024
2024-09-24,475,647,Sep-2024
2024-09-25,478,943,Sep-2024
2024-09-26,490,719,Sep-2024
2024-09-27,436,621,Sep-2024
2024-09-28,408,519,Sep-2024
2024-09-29,310,399,Sep-2024
2024-09-30,488,761,Sep-2024
2024-10-01,522,675,Oct-2024
2024-10-02,480,747,Oct-2024
2024-10-03,563,742,Oct-2024
2024-10-04,500,965,Oct-2024
2024-10-05,358,488,Oct-2024
2024-10-06,851,737,Oct-2024
2024-10-07,664,905,Oct-2024
2024-10-08,714,829,Oct-2024
2024-10-09,988,1557,Oct-2024
2024-10-10,550,800,Oct-2024
2024-10-11,527,734,Oct-2024
2024-10-12,385,457,Oct-2024
2024-10-13,365,442,Oct-2024
2024-10-14,451,622,Oct-2024
2024-10-15,547,735,Oct-2024
2024-10-16,549,710,Oct-2024
2024-10-17,593,773,Oct-2024
2024-10-18,503,601,Oct-2024
2024-10-19,691,553,Oct-2024
2024-10-20,428,446,Oct-2024
2024-10-21,497,589,Oct-2024
2024-10-22,525,708,Oct-2024
2024-10-23,520,590,Oct-2024
2024-10-24,477,590,Oct-2024
2024-10-25,485,553,Oct-2024
2024-10-26,301,315,Oct-2024
2024-10-27,233,262,Oct-2024
2024-10-28,405,445,Oct-2024
2024-10-29,428,453,Oct-2024
2024-10-30,610,582,Oct-2024
2024-10-31,463,527,Oct-2024
2024-11-01,470,524,Nov-2024
2024-11-02,326,315,Nov-2024
2024-11-03,278,277,Nov-2024
2024-11-04,409,440,Nov-2024
2024-11-05,457,473,Nov-2024
2024-11-06,652,570,Nov-2024
2024-11-07,454,509,Nov-2024
2024-11-08,472,601,Nov-2024
2024-11-09,323,361,Nov-2024
2024-11-10,268,285,Nov-2024
2024-11-11,428,448,Nov-2024
2024-11-12,917,810,Nov-2024
2024-11-13,520,531,Nov-2024
2024-11-14,453,553,Nov-2024
2024-11-15,358,418,Nov-2024
2024-11-16,365,419,Nov-2024
2024-11-17,273,310,Nov-2024
2024-11-18,459,522,Nov-2024
2024-11-19,508,545,Nov-2024
2024-11-20,381,430,Nov-2024
2024-11-21,440,488,Nov-2024
2024-11-22,488,525,Nov-2024
2024-11-23,359,393,Nov-2024
2024-11-24,293,325,Nov-2024
2024-11-25,416,433,Nov-2024
2024-11-26,440,494,Nov-2024
2024-11-27,504,568,Nov-2024
2024-11-28,579,634,Nov-2024
2024-11-29,428,453,Nov-2024
2024-11-30,302,336,Nov-2024
2024-12-01,251,281,Dec-2024
2024-12-02,393,432,Dec-2024
2024-12-03,501,525,Dec-2024
2024-12-04,500,514,Dec-2024
2024-12-05,419,476,Dec-2024
2024-12-06,392,462,Dec-2024
2024-12-07,327,389,Dec-2024
2024-12-08,246,267,Dec-2024
2024-12-09,417,648,Dec-2024
2024-12-10,500,656,Dec-2024
2024-12-11,567,544,Dec-2024
2024-12-12,425,570,Dec-2024
2024-12-13,427,476,Dec-2024
2024-12-14,320,361,Dec-2024
2024-12-15,249,297,Dec-2024
2024-12-16,378,608,Dec-2024
2024-12-17,411,476,Dec-2024
2024-12-18,415,477,Dec-2024
2024-12-19,430,491,Dec-2024
2024-12-20,414,959,Dec-2024
2024-12-21,274,314,Dec-2024
2024-12-22,260,306,Dec-2024
2024-12-23,328,454,Dec-2024
2024-12-24,288,352,Dec-2024
2024-12-25,217,261,Dec-2024
2024-12-26,307,354,Dec-2024
2024-12-27,329,388,Dec-2024
2024-12-28,218,276,Dec-2024
2024-12-29,183,224,Dec-2024
2024-12-30,265,331,Dec-2024
2024-12-31,268,322,Dec-2024
2025-01-01,194,235,Jan-2025
2025-01-02,198,239,Jan-2025
2025-01-03,193,329,Jan-2025
2025-01-04,165,201,Jan-2025
2025-01-05,201,262,Jan-2025
2025-01-06,326,521,Jan-2025
2025-01-07,342,382,Jan-2025
2025-01-08,310,371,Jan-2025
2025-01-09,355,486,Jan-2025
2025-01-10,321,377,Jan-2025
2025-01-11,253,295,Jan-2025
2025-01-12,207,232,Jan-2025
2025-01-13,324,327,Jan-2025
2025-01-14,352,431,Jan-2025
2025-01-15,358,434,Jan-2025
2025-01-16,407,467,Jan-2025
2025-01-17,362,376,Jan-2025
2025-01-18,374,298,Jan-2025
2025-01-19,225,262,Jan-2025
2025-01-20,399,357,Jan-2025
2025-01-21,465,417,Jan-2025
2025-01-22,456,461,Jan-2025
2025-01-23,452,455,Jan-2025
2025-01-24,432,540,Jan-2025
2025-01-25,311,319,Jan-2025
2025-01-26,297,287,Jan-2025
2025-01-27,375,396,Jan-2025
2025-01-28,401,429,Jan-2025
2025-01-29,1749,908,Jan-2025
2025-01-30,507,508,Jan-2025
2025-01-31,469,473,Jan-2025
2025-02-01,334,339,Feb-2025
2025-02-02,238,211,Feb-2025
2025-02-03,260,294,Feb-2025
2025-02-04,263,269,Feb-2025
2025-02-05,360,394,Feb-2025
2025-02-06,349,372,Feb-2025
2025-02-07,544,2131,Feb-2025
2025-02-08,301,327,Feb-2025
2025-02-09,305,282,Feb-2025
2025-02-10,394,1229,Feb-2025
2025-02-11,377,431,Feb-2025
2025-02-12,395,423,Feb-2025
2025-02-13,440,447,Feb-2025
2025-02-14,405,648,Feb-2025
2025-02-15,289,308,Feb-2025
2025-02-16,418,555,Feb-2025
2025-02-17,350,377,Feb-2025
2025-02-18,405,432,Feb-2025
